Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
14/11/2022;637,87;66,23802692;74,574503;25,14;23,30944517;21,8
13/11/2022;637,91;66,63523579;75,02170313;26,37;23,72974762;0,2
12/11/2022;637,96;67,1330823;75,58220678;30,03;21,24725257;16,2
11/11/2022;638,06;68,13326144;76,70826481;27,64;17,28892056;0
10/11/2022;638,17;69,24044023;77,95478909;30,4;17,04200087;0,2
09/11/2022;638,3;70,55848339;79,43871634;31,21;19,4637162;0,6
08/11/2022;638,42;71,7844617;80,8189918;31,15;19,9922135;0,8
07/11/2022;638,53;72,9162487;82,09322137;31,13;22,59259847;0,6
06/11/2022;638,62;73,84799939;83,1422388;31,13;34,80659483;0,4
05/11/2022;638,61;73,74421443;83,02539185;26,74;57,69802928;1,2
04/11/2022;638,37;71,27254118;80,24264283;15,5;72,45237519;6,2
03/11/2022;637,9;66,53584476;74,90980311;11,91;53,85475198;10
02/11/2022;637,55;63,0939684;71,03474476;11,98;48,45245901;4,8
01/11/2022;637,24;60,10355476;67,66796858;12,22;47,18947679;16,4
31/10/2022;636,94;57,25944415;64,46590861;11,92;29,80598827;55,4
30/10/2022;636,79;55,85514968;62,88487476;11,9;19,01474928;28
29/10/2022;636,75;55,48262577;62,46546636;11,94;15,94426048;0
28/10/2022;636,74;55,38962218;62,36075767;11,8;14,28759;25
27/10/2022;636,74;55,38962218;62,36075767;11,71;12,27970014;0
26/10/2022;636,76;55,57568025;62,57023233;11,71;12,01908121;0,4
25/10/2022;636,78;55,76194213;62,77993645;11,73;13,22912889;0
